,title,content,date
12,"
Five Stars
","

  Does what it is supposed to perfect for my $1200 computer

","Reviewed in the United States on May 6, 2020"
13,"
Desktop Processors
","

  Turned my grandson's computer into a screamer!  He is thrilled!

","Reviewed in the United States on January 22, 2019"
14,"
Good value
","

  Good value. Easy oc.

","Reviewed in the United States on August 15, 2017"
15,"
works great
","

  fits perfectly.

","Reviewed in the United States on January 14, 2020"
16,"
wrong item came
","

  I got the wrong processor, number and Ghz does not match description

","Reviewed in the United States on February 7, 2020"
17,"
Big bang for short money
","

  Fast. Runs all GTA V content perfect

","Reviewed in the United States on December 9, 2019"
18,"
Nice everything
","

  Good quality

","Reviewed in the United States on August 27, 2020"
19,"
Firmly grasp it..
","

  Great purchase. Cant beat the quality or the pricing.

","Reviewed in the United States on July 24, 2019"
20,"
does its job.
","

  great CPU for the money

","Reviewed in the United States on July 3, 2019"
21,"
Worth the money
","

  Worth the money

","Reviewed in the United States on June 5, 2019"
22,"
Nice cpu. works well in my most recent build
","

  Nice cpu. works well in my most recent build. I was looking for a middle of the road cpu for business apps.

","Reviewed in the United States on December 24, 2019"
23,"
Works Fantastic! And A great price!
","

  Been Working on building my first computer for a while now, and was short a CPU was looking at getting an I3 to save a bit of cash but the price on this was too good to pass up. Installing was easy, and my computer runs great!

","Reviewed in the United States on September 13, 2019"
24,"
Pricing is good
","

  It's a good buy for a budget build

","Reviewed in the United States on April 11, 2018"
25,"
Very capable cpu
","

  Lots of capability in this cpu and its not a power hog.  I'm a number cruncher vs gamer and it fits the bill for me.

","Reviewed in the United States on February 5, 2019"
26,"
Five Stars
","

  Its great. No complaints, everything is as expected.

","Reviewed in the United States on July 16, 2019"
27,"
Five Stars
","

  Great product. Item as described. Works like a charm.

","Reviewed in the United States on August 28, 2017"
28,"
Great!
","

  Purchased this one to build a gaming PC, its working perfectly so far.

","Reviewed in the United States on August 1, 2017"
29,"
This does NOT clock at 3.5 GHz like it claims
","

  The Amazon store page clearly says this clocks in at 3.5ghz but the product is actually only 3.0ghz. it is a working processor but not as good as it was advertised to be. It also came with no thermal paste for me to apply.

","Reviewed in the United States on April 15, 2018"
30,"
Good CPU
","

  For newish build works fine bit pricey for a older CPU but I was in a bind

","Reviewed in the United States on July 3, 2019"
31,"
Four Stars
","

  works well

","Reviewed in the United States on June 5, 2019"
32,"
Five Stars
","

  Perfect of course

","Reviewed in the United States on November 8, 2019"
33,"
Five Stars
","

  i like sooooo much thanks

","Reviewed in the United States on November 19, 2017"
34,"
Awesome but cheap Chip
","

  Does an amazing job. Over clock is 3.5ghz. Cinnebench rating is always right around 520. I've had no issues.

","Reviewed in the United States on September 5, 2018"
35,"
Who say's all chips are chocolate.
","

  all core's full steam ahead. Gaming with a smile.

","Reviewed in the United States on March 18, 2018"
36,"
Five Stars
","

  Very Fast

","Reviewed in the United States on July 4, 2018"
37,"
Five Stars
","

  ok

","Reviewed in the United States on August 13, 2020"
38,"
Disappointed
","

  Very disappointed. It said it came with a CPU fan and it didn't. It came in a small barely packaged box with label packaging.

","Reviewed in the United States on February 15, 2018"
39,"
speedy boi
","

  he good

","Reviewed in the United States on December 26, 2017"
40,"
Good entry level
","

  Does what I need and doesn't give me problems

","Reviewed in the United States on July 3, 2019"
41,"
Five Stars
","

  fast!!!!!

","Reviewed in the United States on June 5, 2019"
42,"
Didn’t work so good for me.
","

  Didn’t work very well right out the box, only got .80ghz. Got a new one from someone else and it worked great.

","Reviewed in the United States on January 29, 2018"
43,"
good for whats it worth
","

  Running Apex Legends on all high settings , runs smooth with rx 580

","Reviewed in the United States on May 7, 2018"
44,"
Five Stars
","

  Good, works well

","Reviewed in the United States on June 25, 2018"
45,"
Five Stars
","

  :)

","Reviewed in the United States on February 15, 2020"
46,"
Five Stars
","

  Excellent

","Reviewed in the United States on September 5, 2017"
47,"
Nice!!!
","

  Nice!!!

","Reviewed in the United States on August 28, 2017"
48,"
Five Stars
","

  Very nice!

","Reviewed in the United States on January 25, 2018"
49,"
Five Stars
","

  Solid choice for a mid-grade gaming computer.

","Reviewed in the United States on June 28, 2018"
50,"
Good quality
","

  Hapoo po u with item

","Reviewed in the United States on July 3, 2019"
51,"
Pretty decent
","

  Good price, for it

","Reviewed in the United States on June 5, 2019"
52,"
Five Stars
","

  Very good

","Reviewed in the United States on July 13, 2020"
53,"
Muy buen producto
","

  Muy buen producto

","Reviewed in the United States on August 9, 2018"
54,"
Five Stars
","

  Perfect!

","Reviewed in the United States on November 17, 2017"
55,"
Five Stars
","

  works great delivered as promised

","Reviewed in the United States on July 31, 2017"
56,"
I have used nothing less and have no issues! ...
","

  I have used nothing less and have no issues! I have built 4 computers intel and all are still running. I just still refuse to upgrade from Windows 7.

","Reviewed in the United States on August 8, 2017"
57,"
Great processor!
","

  Great processor for any computer build. Use these in customer builds. Plenty of processing power to last for years to come.

","Reviewed in the United States on October 10, 2017"
58,"
Intel n00b, so far impressed.
","

  First Intel CPU I've used in one of my self-built machines. So far this thing has been a beast and has handled all the things being thrown at it, still need to try GalCiv 3 on it in a larger galaxy which would bring my prior machine not only to it's knees but to the desktop too. I almost wish I had a 2k monitor to push it a bit harder.

","Reviewed in the United States on June 14, 2017"
59,"
Five Stars
","

  Works great and very fast this box included fan processor and sticker to put on your case!

","Reviewed in the United States on November 18, 2017"
60,"
Great processor although it is 3
","

  Great processor although it is 3.0 GHz speed, not 3.5 GHz as the product page says. That being said it performs really well considering it is slower than expected.

","Reviewed in the United States on July 3, 2019"
61,"
Five Stars
","

  Great mid-gaming build, got it at nice price

","Reviewed in the United States on June 5, 2019"
62,"
Five Stars
","

  Bien

","Reviewed in the United States on July 13, 2017"
63,"
Five Stars
","

  Great processor!

","Reviewed in the United States on July 3, 2017"
64,"
great CPU
","

  No issues

","Reviewed in the United States on August 4, 2017"
65,"
runs all my games and programs without a problem and keeps extremely cool. Unless you're a video junky then get a ...
","

  Can't really go wrong here, runs all my games and programs without a problem and keeps extremely cool. Unless you're a video junky then get a K version (overclockable).

","Reviewed in the United States on May 16, 2017"
66,"
:)
","

  No complaints.

","Reviewed in the United States on March 19, 2017"
67,"
which is awesome. If you have the budget
","

  It's a slight improvement over my FX-8320 in as much as it gives equivalent performance with significantly less noise and heat. I was also able to Hackintosh my PC with this chip, which is awesome. If you have the budget, you're better off going for a 7500, though.

","Reviewed in the United States on February 11, 2017"
68,"
Easy installation!
","

  Recent pc gaming build up and running strong! Easy installation!

","Reviewed in the United States on June 27, 2017"
69,"
Five Stars
","

  :)

","Reviewed in the United States on September 25, 2017"
70,"
Cool
","

  Bad

","Reviewed in the United States on July 3, 2019"
71,"
This cpu is a huge upgrade from the hyper Threaded ...
","

  This cpu is a huge upgrade from the hyper Threaded pentium g4560.The i5 runs at 25c with my Hyper 212 evo

","Reviewed in the United States on June 5, 2019"
72,"
Great processor but make sure you have windows 10
","

  Would have been nice to know 7th gen only supports windows 10. Next time I'll be sure to do more research before buying as I can't install the required drivers and had to use a bypass to stop the annoying ""your processor isnt compatible"" message windows gives me. Box also came wet or something as it was sticky on one side.

","Reviewed in the United States on November 30, 2017"
73,"
Not as Described ""3.5GHZ"" Not Base
","

  I placed an order for product ""BX80677I57400 "" which is advertised as a 3.5GHZ processor. I returned the original received as it was marked as a 3.0GHZ. The replacement was also a 3.0GHZ. The item is incorrectly labeled as a 3.5GHZ when it is in fact a 3.0 with turbo. This is not as advertised and for those placing orders you will want to check into this to be sure you want this product before placing the order. 99% of processors on the market are posted as base clock speeds and it is a bit shady this would be listed at the turbo speed.This has caused a lot of frustration as I have now had to return two products and will not get the refund until the 2nd is received delaying my PC from being completed. This information is important for those building specific types of PCs and really should be noted in the products description.

","Reviewed in the United States on April 29, 2017"
74,"
Constantly being bombarded by Microsoft to upgrade to Win 10 ...
","

  Constantly being bombarded by Microsoft to upgrade to Win 10 because you cannot receive security updates on Win 7 pro Win 7 Ultimate or Win 8.1. Wouldn't have bought it had I known that you have to run win 10.

","Reviewed in the United States on June 9, 2017"
75,"
One Star
","

  Kaby Lake not compatible with Z1270 board without bios change which is very hard to do without processor.

","Reviewed in the United States on October 5, 2017"
76,"
Hey intel!:$
","

  Question:

","Reviewed in the United States on September 19, 2017"
77,"
Not the chip i needed
","

  im giving this one star because i couldnt use it in my system and are having to return in, i bought a complete computer in parts and built it myself and the mobo needed a bios update, which i couldnt do with this cpu, geek squad basically refused to do a bios update and im not waiting a month to send the board back to get it updated, and possibly have the wrong update.

","Reviewed in the United States on August 21, 2017"
78,"
Five Stars
","

  I like it when there are no surprises

","Reviewed in the United States on June 7, 2020"
79,"
So far so good 4 cores 4 threads was just what my system ...
","

  So far so good 4 cores 4 threads was just what my system needed it paired almost perfectly with a gtx 1050ti and 16gb of ram

","Reviewed in the United States on March 27, 2017"
